Rattings,Review
5,"Guys, do not read any other review. And read this if you really wanna know what this tripod is like.It's a great deal and definitely worth the money spent. Some of its parts are to be fixed manually [I saw some reviews where people said it was broken]. No, its not broken. You have to assemble some parts.I've bought this for my youtube channel, and it works completely fine. I use a monopod mount on it for my phone camera, and it is great."
4,"For a price below Rs 1500, you can't really complaint. The tripod looks nice, build quality, if not excellent, is rather good and the tripod stays stable on level ground. If you are looking for casual use in plains, this one should be sufficient. I wouldn't recommend it for difficult terrains. The head is made from plastic material that could have been made a little better. It is very difficult to obtain a stable shot if you are using high zoom lens with your camera on this tripod. The plastic material tends to retract due to its flexibility. It is not rigid. At maximum height the tripod is flimsy and may easily trip over in strong wind. Easy to carry."
4,I am using canon 700d with this tripodAnd experience was good!Pros: 1) sturdy compared to other tripod in this price segment.  2)features  3) pivot legs  4)height  5)lightweight  6) bag quality is also goodCons:  1)panning is not that great  2)only 1 release plate provided
5,I got it on 13-Oct-2018 with all the accessories mentioned so no issue with the delivery and the item delivered.I am using Nicon Semi DSLR with this tripod. Following are the details :-Height &Weight :-9/10It's very light weight. Only 3 lbs (1.36 Kg). They provided the Zippered carry bag which make it easy to carry for outdoor shooting. It's perfect for most cameras up to 6.6 pounds.Tripod’s legs:-9/10The tripod’s legs can extend from 20” to 48” which helps to keep the stand stable even the surface isn't flat. Leg locks release smoothly and glide easily to your desired height. Crank up the center post for a tripod that is 60” tall which helps to make real videos even there is a huge crowd.The rubber feet adjust to help you achieve the perfect position.At maximum height tripod may loose the stability which will depend on many factors. That's why I gave only 9 out of 10.Level :-9/10There is a built-in level above the legs which lets you know when the base is level. Another one is on the top of the camera plate which lets you know when the camera is level.Also there is a rubber feet adjust which helps you to achieve the perfect position.Movement :-8/10It does pan from left to right and left to right. It's move very  smooth however some professional photo grapher will not find it very smooth.Holding :-9/10There is no default configuration to hold the mobile phones as it's specially designed for Cameras however You can  search for a bracket or an adapter to hold the mobile. These brackets are very cheap. You can get them for Rs.150 to Rs.200 through online/local market.Finally it's a very good product at this price range.
1,"Would you believe if I say that I ordered this 4 times and for what? Because every time, either this or that is broken or not supplied (yes in the final-time, I got the product with one of the leg-bases missing). In the other 3-units; the gasket was broken, height adjuster and one of the leg-locks with it.In the final unit I had to receive the broken piece and use it anyway because my better Manfrotto tripod was broken and I had no choice since the trip was on the very next day. Yes I've been dealing with this shiz for a month and they never got it right. Returned home after the replacement so I couldn't replace it either. Now I'm stuck with this and what's even worse, the locks and dials are already making weird noises and getting stuck sometimes. Would *not* recommend it to any extent, better save your money and get a Manfrotto :)"
1,"Well it's handle got loosened and suddenly a nut fell, thereby seperating the handle from rest of the body.This is not the worst part, I mailed cloudtail to avail warranty with sufficient description and sufficient amount of photos; first got a reply saying they'll need a video, I sent the video, and guess what, they're not replying since past three days. I've even reminded them twice but no response."
4,"I've been using this tripod from a little more than an year (initial purchase in 2017) & mine broke few days ago (in February) because I mishandled it.  It saved me money because I made a monopod out of the broken tripod. This tripod is good but not for long exposures as it catches vibrations when mirror lifts up & goes down when you press shutter button. But I purchased this again because of its super handy size & low price. If your aesthetic makes you to take long exposures, there's another amazon basics tripod somewhat around 1299/-, that'll do the job for you. For regular/normal use, this tripod is the best buy!"
5,GOOD tripod which- can hold a 70 - 300mm lens- has level bar shows the current level-  is light weight and easy to carry around- also comes with its bag
5,"Summary: Nearly a must have for any amateur camera or video recording work---------------The great:1) No less than 10 kinds of adjustments2) Can sit at just over a foot height and can go upto 4.5 feet3) Easy to carry: The bag to carry is very good and the tripod itself shrinks to a carryable size to carry in the bag4) Must have for youtubers. The stability it provides is very good for youtube videos.5) Quality:  The quality of material is simply exceptional. I could drop it from about 5 feet height and it wont' break (not tried, but it feels that sturdy)---------------The good:1) Has level meter: But only for right left. Wish it had for front back also!---------------The not-so-good:1) No Universal Holder: If you plan to shoot video with mobile, you need a universal mobile holder bought separately.---------------Who is it for:1) If you are buying a video camera just go ahead and buy a tripod already.2) If you do any kind of video work, even on mobile phone use a tripod. Without tripod, the videos will be very jittery due to movement, even if you (or cameraman) have a very stable hand3) Photos: Needed only for photos that have long exposure (for example in the night). Or for long distance shots. In both of these cases a small movement in your hand will lead to blurry photos."
4,"1. The tripod is very easy to set up2. It is pretty sturdy comparing the price at which it comes3. There is also an additional hook present in the middle which can be used to suspend weights in order to provide more stability in a windy environment.4. Easily holds my Nikon D3400 with both 18-55 & 70-300 lenses without any worry.5. Lightweight, hence great for travelling. The bag is also very handy.6. The bubble levels are pretty decent.7. Panning is also pretty smooth.8. Only downside is build quality of some parts and plastic are cheap, i hope it lasts."
5,"The tripod is one of the best budget tripod. The matte finish it great and the overall fit and finish is great, the materials used feel premium and of high quality. It also has an inbuilt spirit level to see if the camera is straight/in level to the ground. The trip gets very high and allows you to take shots from a wide variety of heights. The pan is smooth and tilts are also smooth. Although a beginner wouldn't be able to take very smooth shots. You need some level of experience with panning and tilting for very smooth pans. The tripod also removable mounting screw so you don't have to screw in your camera everytime. The tripod is light and the carry bag allows you to easily take it to several places. Although I would have liked a bit more sturdy feeling when at Max Height. All in all it is a great purchase and nothing else can beat it in this price!"
2,"Received successfully today, disappointed because of broken handler, can’t you check before dispatching. Remaining product features are good. Very delicate. Poor finishing. Made in stupid china .Initiated my replacement, if you repeat this again .i won’t  repeat buying products from Amazon."
5,I had bought this product for my Nikon D5300 and I need to say that the built quality is the perfect I bought it around 3 to 4 months back and it's still working fine the durability is very good it's sturdy and a big thumbs for Amazon basics
5,"Its heavy and sturdy. Comes as three pieces, the head, the tripod and a padded bag.  Inside the bag, you have an user manual, spare camera shoe and allen keys.The tripod is real heavy. Approx 3kgs. Fully expanded, stands tall at about 5' 5"". Add the head, it will reach about 6ft. The tripod has a level indicator and a small compass. The head has three level indicators. The only problem I saw is that, you can't store both tripod and head in the bag.The pistol grip is solid and apart from the quick release button for the shoe, there's also a screw to hold the shoe in place.Witb the pistol lever pressed, you get a 360 deg movement and be able to lock in any position.The centre rod can rise up another 10"" or so... And it has a hook at the bottom to add weight or tie the tripod down if necessary. Also it can be removed and the pistol grip attached for low shots.Overall, bang for the buck."
4,"It is quite good for my Nikon D5300 with both 18-55 and 70-300 lenses. Haven't tested it in the outdoors yet. The leavers are not very best and have to see how long will they sustain. Also the leg folding leavers are very delicate and durability is to be checked. Overall if you want to use it rarely and want a tripod for lower price, you can surely buy this."
4,I have been using this product for past 6 months for my iPad and phone so far so good. It is good for small 1 kgs camera but if you need it for your expensive and bulky stuff then you'll have to purchase a sturdy stand as well.This is excellent in terms of compactness yet it opens into a high platform. Even a six feet person can operate it.Good for household and hobby photography for phones and tabs.Material is holding for last six months. No breakage or loose item.
4,Best Tripod for YouTube videosI am using canon 80D with this tripod. The tripod is very strong and Steady.Pros:1) Strong2) Adjustable height3) can level the tripod after fixing4)height5)lightweight6) bag is good7) Can hold DSLR Camera8) good quality plastic9)less space occupiedCons:1)no mount for mobile2)Amazon Basics doesn't sell mobile mount together with this3) price bit high
1,"I was mislead by the review of this product. When I read the product review, people quoted it as nice and excellent.Let me tell you the overall product experience.Quality - below average.Usability- not that simple. It won't stay properly even after a study fix.Value for money- NO, definitely not. There are other brands available in same price point with a better build quality and better handling.Final verdict- don't buy this item as it doesn't work properly and has a poor build quality."
1,Just Waste For Me .There Is No Mobile Clip Holder ☹️.Really Disappointed .I Shoul Go For Cheaper One Which are About Only 500 But They Include Mobile Holder ..That's Preety Bad Amazon ...In This Period Of Lockdown I'm Really Disappointed From You ..I Have To Take Online Classes Of My StudentsNow I Have To Wait For Some Other Days .To Arrange An Mobile Clip Holder...
5,"After trying 3110 tripod which was very affordable but has cheap Quality, I bought this Amazon Basics tripod. The build quality is top-notch. The platics nobes and other plastic parts are made of good quality. The tripod feels sturdy and stable. The pan function is super smooth. The tripod comes in good packaging and a carry bag with shoulder strap. The only thing which could have been added is a good mobile holder clips but still it best buy for the bucks. I would recommend this to beginners photographers and YouTubers."
4,If you are on tight budget get it. 👍It is light weight & easy to carry.But if you have expensive phone or camera then get a better one.Although it serves the purpose but it is not so stable.A gust of wind can make it fall.But if you are using it for smart phone its good.
5,Product quality is worthyI bought for 1399/-  as a deal priceGo for it ☺️👍N yes I fixed my d5300 . It fitted nicely
1,"Misleading information• I searched for a “mobile phone tripod” and this product came up third in the search results.• It is an AmazonBasics product so I relied on the branding, did a quick scan of the specifications and ordered it• When it was delivered, I realised the product was NOT compatible with mobile phones• When I read the product details again, I realised that on scrolling down 2 to 3 screens (in small font on my iPhone XS Max) there’s one line saying the product is not compatible with mobile phones• The Amazon app and the customer representative told me that the product can be replaced with the exact same product. That obviously doesn’t help me.It was quite disappointing as I had relied on the Amazon brand and, to be honest, I felt cheated. I entered a very specific search. This product should not have appeared in the results. Also, the information about mobile phone incompatibility should have been highlighted."
4,"I wonder where was Amazon hiding this monster for so many years. If you are looking for a tripod which stands solid and stiff in the price range, this is is the one. I am rating it 4 stars because of the bulky and awkward ‘Pistol Grip’ ball head and would want stress here if you're OK with buying a separate ball head, your search for a tall and sturdy tripod ends here.The only flaw is in the Pistol Grip head. The head that comes along is bulky and takes a lot of time to getting used to. I find it very awkward to use for panning shots. It’s really difficult to keep the camera at level or angle. The pistol grip adds an extra 9 inches to an already tall tripod. The movements are jerky. If the tension is tight, you really have to squeeze the grip hard to move it. If the tension is loose, the head may not hold position steady. Sure, they have a screw to adjust the tension, which may be toggled using a hex wrench (included), but is stressful anyways. The extra 9 inches of the ball head also gives a little wobbling movement. Further, the quick release plates on this ball head are proprietary and cannot be used on any other ball head. That is another annoying factor.Another factor that renders this tripod head useless for panning shots is that the centre column is immovable horizontally. You can slide it up and down to increase or decrease height, but you cannot rotate it horizontally. There is a groove in the column which locks it into place and the column cannot be rotated. Maybe, if the centre column had horizontal mobility, panning shots would have been easier. I call it a plus point as it practically disallows any kind of wobbling by the centre column.Coming back to ball head. For me, the better solution was to look for another ball head, and I did find one, which now adorns the dandy long legs of this monster (see image). The QR plate and holding clamp is 38mm Arca Swiss design, which makes it easier to switch with other ball heads with similar 38mm shoe clamp, without changing the plate.Some of the plastics feel a little cheap, but I choose to ignore, because at the end of the day the system stands rock solid and sturdy. Some may criticize it for the weight, but I say the weight is an added advantage for this tripod to stand stiff, especially in windy conditions. I have made bulb ramping long exposures on this stand, without having slightest of blur.So, if you don't care about weight and size, and you are OK with spending another 3k+ on a ball head, this is the tripod for you. Buying a separate ball head is basically a minor issue since all other tripod heads included with tripods in this price range are going to be similarly incapable.P.S. Maybe you will find the pistol grip handy and easy to use, I couldn't..."
5,"Awesome product. I liked the product, worth buying. The material and components used are really good. Easy to use, expand and compress. Great color, lightweight and good for indoor and outdoor use. Packaging was also good with good delivery service from Amazon, though the product was delayed by one day due to addressl issues. Go for it guys, it's worth buying and you will not regret for having this."
4,"Excellent product. Using tripod for the first time. The product is strong. Seems sturdy and easy to use. The only con is Amazon did not send any product usage / parts guideline with the same. Since the product is designed for beginners, its imp that they should hvr sent some manual / set up guide for the product unboxing and set up. Had to rely on youtube for the same. Anyways, that does not demean the product quality. Its nice and sturdy. Some of the screws am yet to discover! Overall, a good product. Amazon, pl mail me the product booklet if possible. One less ⭐️ only for the same..."
5,Worth for 799paid.Total height comes nearly 5feet.This tripod is light weight but it worth for indoor use not fit for outdoor or for heavy cameras.For mobile and lightweight cameras this tripod will be best in low budget range.Bottom leg is very slim so won't be stable in outdoor or windy areas. And need to be handle softly or you might be ending in breaking of its bottom leg.As this is nearly 5feet you can use it even of you are shooting of standing person.As per this covid19 this tripod is useful for staffs for online class they can attach tripod with mobile and shoot online class.And even students can use this for viewing class online. They can fit their mobile and increase height  as per their requirement and sit in table and take notes watch online class easily .As i have mirror less and DSLR camera i can able to use mirror less on this tripod as it is slim and light weight.I won't recomment this for DSLR as this wont support DSLR weight you will end in breaking your camera.Note. You need to buy mobile holder for using mobile with this tripod.
5,Dont expect professional quality. You can not place a DSLR on top of it (Better to buy a carbon fiber frame/aluminum tripod). It for Lightweight camcorders/point n shoot/mobile/light weight projectors. (My XA11 holds good in this one once locked as its a light weight camcorder).Its pretty strong except the head mount and lots of option that you will find in pro ones. Head rotation is not fluid. Its good if you are planning to fix in a place and shoot. SO basically for beginners . I am giving 5* in beginner series.
4,"As a small youtuber i had no choice but go with a budget tripod, so after a lot of research and binge watching reviews i ordered this product.I was both scared and excited as there were mixed reviews about the quality of the product.But i was so relived after  i received the product, it came in good package and was in good condition.So i have been using it for the last 3 years or so (Not regularly).I use Nikon DSLR5300 for making youtube videos and this is the stand i have been using in all my videos.Now what do i think*This is absolutely fine for recording Youtube videos that are static (where you don't need to move around the cam)*It is not at all suitable for B rolls as it's budget product and feels clumsy.So if you are someone who wants a basic tripod to mount your DSLR cam and just record this is hands down the best at this price rangeIf you are more in to recording broll like videos where you need the help of a stable and smooth tripod this is not at all suitable for that."
3,"It seemed like a fine product at first glance and I ordered without hesitation as it was Amazon Basics. I have had positive experience for amazon basics products. But this was not the case.I had to return it within a day only. It was not able to hold a DSLR firmly at an upwards angle. This was with a normal 18-55mm so not too much weight. I thought that the product must be defective so I decided to go for a replacement.As it turns out, that was not the case with that piece. The new piece had the same problem. Tripod was not able to hold it firmly. Even the movement of auto-focus motor was sufficient to make lens move from it's angle.  This was enough to ruin photos especially the long exposure ones.Packaging:This product comes with wrapped in plastic inside a decent cover. Cover is good for overall use. However the box that it came in was damaged the second time. It was torn at many places but I didn't mind that too much.I had to return it again and finally ask for a refund. I would suggest go for something more sturdier even if it is expensive."
5,Very solid and sturdy. Does the job for me.  Holds my D610 with 70-200 f/2.8 perfectly fine even in portrait mode tilted on the side. Pistol Grip holds fine and perfectly.Definately a buy recommendationUpdate after almost a year of use:Still great but one leg became loose when I mounted the nikon d 850 with the 200-500 f5.6 setup. Will tighten amd update
5,This is very useful taking tilt and pan shot and also quick release plate help to remove camera and gimbal with few seconds..I am using DJI OSMA gimbal using this tried moving time laps in hills station stability Is good but  this only for beginners.And also don't expect the quality like simpex and Bosch
3,"As the title reads - It's the best budget tripod for beginners. So let me first say all the good things about it before I come to describing the BUTTT part of it.I am a big AMAZON BASICS fan. I like their range of products not only because of cost but also build quality.This 60 inch Tripod is exceptionally good in it's range. After getting the first one couple of years ago for a friend, which I used for tests for almost a week, I ordered 2 more for friends and one for personal use. It is much better than some known branded tripods available right here on Amazon. It's light weight. Well built. Comes with a hand grip. Holds pretty good on any general surface. The head is not very sturdy for video purpose (actually its not build for that job).So why BUTTTTT! My recent order for the same Tripod I received a damaged Tripod with scratches and damaged rubber ring. Looked kind of used or badly stored. On my request they replaced it within a day...but sadly the second one also came with not only scratches, but this time broken Rubber ring. Of course I got a refund after returning the product. But this turned out to be a huge disappointment and waste of time. I am now not comfortable ordering this product for sure. :("
1,"Within 2 months of moderate usage, The tripod is unusable. Worst ever experience using Amazon service.Could've bought a better on Flipkart but got tricked by the ""Amazon Basics"" tag.The 1-year warranty is just a fake promise. Since over a month I've been writing emails back & forth to Cloudtail for the warranty claim and they never processed it. I even shared photos and videos as requested by the team, but still no use.When you can't provide the warranty why try to sell a fake promise AMAZON?"
1,"Hello AmazonI have tripod with me.(for ref. check Digitek Tripod DTR 450 LT with Phone Clip Holder)so i searching new one with the best quality.so my search stop here.i choose this one.find some images of tripod that i think quiet impressive and tall.so i ordered one.but when i got my order i got same typical tripod.pls note that you also never given any image of tripod.so now i have got different cheap tripod and also headache is i can't fit  LED ring light kit on it.also there is no guide book to understand how to fit all.the  LED ring light is too short to adjust samsung galaxy a50 mobile and there is no facility to ad phone on LEDso i Decided to Return Tripodsend me another one which other showed in pieces.also i don't understand how to connect LED ?where to put that LED USB? in computer ?because that usb never fit to mobile. i guess it's for batteryi put it on my pc then it work okay, but i cant put in pc always.then how we make a video through ?so much confusion at least send another new tripodthank you"
5,"Product is good quality with all possible adjustments. Light is also very bright with diff color and brightness adjustment. Very sturdy, strong and light weight stand. Very high tech working. Height is also adjustable."
3,"The product is not bad. The ring light has three different modes, which is a very nice one. The tripod is not entirely metal, only the top section is metal, the remaining parts are plastic. So while fixing the ring light, there is a chance that it will fall because the ring light is slightly heavy compared to the tripod. Tighten all of the knobs correctly, so that it won't tip. The height of the tripod is ample for sitting poses, for long shots as well."
5,Very nice and well fitted. It helps me to enhance my photography and making videos so damm effective and beautiful. Specifically it helps me to short video for tiktok. I'm very happy with the product.
1,It's not 18 inch it's 10 inch .. light is good but there is no instructions of installation.Clip for mobile is broken
1,"I order 16 inches but they send me 6inches ring light, I refund that. And product quality is not good, low brightness"
4,"i like the product ,well its good & quality of light matters the most isn’t very bad & if i say bout tripod stand it’s not that bad also but excessively long(unwanted) like of no use for that big , well over & all its just (good)"
5,"It's very nice and easy to useGood products, easy to carry, light is very nice,It have multiple light,Stand is good quality"
3,I ordered a square shape light but I got round one.. infact the nuts are missing in the stand.. I had to purchase the nuts coz I needed it in emergency... Stand quality is solid.... Light is also ok..
5,"Perfect light, easy to handle. I am using it from last 1 month than m writing it. thank amazon i love it . price was also very cheap and reasonable. light adjustment function is also very nice"
5,"Worst and low quality product, after one month of use, it’s start getting shattered from everywhere.Amazon I’m dissatisfied. IWant a replacement"
4,The product is working good bt it has cracked on upper part of the ring.Be more attentive nd check properly before delivery
4,"I wish it had Bluetooth and portable battery provision. Otherwise, it’s a decent buy. Works fine."
4,360° bolt is not included. otherwise the quality is good and the mobile holder falls down as it's not properly attached .Otherwise quality of light is good.
4,It does fine though the usb port heats up after a while of use but works just fine for hours.
4,This is an amazing product and super helpful to take videos. It's very easy to install and adds lights/brightness to the video.
5,Good for taking professional photos on ur smartphone. Fun to use and value for money.Loved it
5,The tripod and ring light is too good for this price.
4,Little shorter than expectedAlso dingly but does the job and not at all expensive
5,I can customise my video shooting with the help of this LED light. Its worthy of my investment.
5,Amazing product. Completely satisfied. Will order something else also really soon. Go for it.
5,Products is good and quality item.
2,Very Low Light. Not good for video shoot.
5,Good product.. works as advertised
5,Really nice
4,This product is very useful for recording videos And while attend meetings.
4,"I am very happy to use this ring lite, now iam comfort."
4,Good.Solves the purpose. Quality can be improved
2,Easy to use.. But not for professional use.
5,Good product thank you Amazon
5,Good quality product I really like this product
5,Not that bright but yeah okay for clicking pictures
5,Httb
5,Just like mentioned in description. 3 setting and good selfie stand. Must buy especially for beginners. Easy to use too
5,The product was received in a good quality n on time. It was portable n user friendly. The brightness adjustment also looks great.
5,It is a perfect to use product if you are fond of photography or making videos and even for video calls you don't have to hold the phone for hours.
5,It is very good as expected. Extremely usefull for my online classes. I'm happy with product and looking forward to buy more products
5,Excellent product  good quality good price  Apt size .. packing was good . Very satisfied with the product... please ordee
5,owsome experience ....for ring light easy to use ...and brightness also..very good
5,Good product 👍 I like this
1,Its using for my nikon 750 cameraThis is worst product .its not match to display size&other one iam buying it only 50rs in cell point
1,"Friends don't buy it. Cheap product and big in size, doesn't fit in Nikon D750 or any other camera."
1,Not worth buying. Since its not the perfect product.
1,the size was not as per the screen size
1,"too big for d750.waste of moneydo not buythere's another one by 'okayJi' for 99₹ get that, fits perfectly"
1,"Worst product, waste of money. Don't buy this product."
1,not compatible for d750
3,good
5,"Really nice. I thought it could be cheap road side product. But after placing it, I understood the quality of the product. Its very clean, there is no issue after placing it."
3,I am not much familier with camera but bought with high hopes .after using some time realised not that worthy to buy .my suggestion to camera buyer plz buy from local shops or buy second hand first then try for new .which can save your money
5,Good enough....nothing to say...
4,Tons of feature available. Would have been perfect camera if it had 3.5mm jack and 180° flip screen. Though Available features are more than enough for beginners and semi professionals.
5,Excellent camera
5,Hi I have a doubt! We do model Photoshoot of Sarees... we really don’t do it with professional photographers while our admins carry out this work. We are happy to shoot pics with IPhone 11pro. Do you guys suggest this camera as I am thinking to upgrade.
1,I have got the product today. But only stand has been delivered. All other items are missing. Only because of that I have to seek return of the package.
4,"The light is good, but it did not come with a stand so now I don't know how to use it properlyCan the vendor pls contact me"
4,Nice product in low cost
5,I'm MD RAHUL AMINVary nice ring light
2,"There was no stand in my order.Imm not sure how to use this now, the light is really good and bright but there is no stand. Can someone help me with buying only a stand for this?? I need it a bit urgently."
4,Good product with flexibility to use.
5,Excellent product.Light system is verygood
1,The stand is not foldable making it difficult to carry
1,Parts missing I want to return the product
1,White and warm light down in  1 week
3,"needed some edge trimmingis not bubble free on applicationbetter products available at higher price, cant beat this one at the price offered"
3,"Its ok, Got 2 Screen Guard 1 was already damaged and 2 was ok.Size is not dat accurate."
5,Perfect Size and almost invisible after application.
3,good product
2,Bad Quality.. never refered
5,Must buy item. Go for it.
5,Value for money and gr8 product
3,ok ok ...
5,Quality superb
1,This screen protector is actually plastic and that too ks of poor quality
4,"The XT-200 is typically a successor of Fujifilm’s entry-level mirrorless camera XT-100 which was launched more than a year ago and its pricing sits just below the mid-ranger XT-30. Although there are various upgrades over the previous generation, being a vlogger one upgrade that I consider major is its capability to shoot 4K videos up to 30 FPS as compared to just 15 FPS with XT-100. To go through more differences and new features keep reading.1. XT-200 sports a 3.5-inch -90 to 180 degree rotatable LCD as compared to a 3-inch 3-way tilt LCD in XT-100. The new 3.5-inch LCD supports a 16:9 video playback instead of 3:2 in that of the XT-100.2. Both XT-200 and XT-100 come equipped with 24.2 MP aps-c sensors but the one on XT-200 is a copper wired sensor. Though it’s hard to notice any major improvements while capturing still images.3. As compared to manual up-down navigation controls at the back of XT-100, XT-200 now equips a joystick control. Also, most of the controls are now on the touchscreen panel of XT-200 like Q button, dept sensor, aperture, and exposure adjustments. There’s a complete changeover of UI in XT-200.4. XT-200 showcases some new functions like an improved digital stabilization mode called Digital Gimbal and an HDR movie mode that allows HDR video recording in high contrast situations on 1080p resolution at 30 FPS. Also, there’s a much better face and eye detection AF system in the new XT-200.5. XT-200 comes with a 3.5mm audio jack as compared to 2.5mm on XT-100. Also, there’s a USB type C port on XT-200 whereas XT-100 only supports standard USB.6. Both cameras come in a plastic body but XT-200 showcases a matte finish as compared to a shiny one on XT-100.7. XT-200 is designed to give a better grip with a hump in front side as compared to XT-100 where there was no such hump.8. XT-200 weighs significantly less at around 370 grams as compared to XT-100 which weighs around 450 grams.Cons:- Although there are some major improvements, I personally don’t feel the huge price difference between XT-100 and XT-200 is justified.- Supports only 15 minutes video at 4K resolution.- At such a high price point Fujifilm should’ve offered an X-Trans sensor instead of a CMOS sensor.In case you’ve got some more bucks in your budget then X-T30 would be a great option to consider instead of upgrading to XT-200.P.S. I review products on amazon to help fellow customers in taking wise decisions and try to ensure that everyone's hard-earned money gets its full worth. It always makes my day to know that people find my reviews helpful. Feel free to mail me for any queries and follow me for more such informative reviews."
