Rattings,Review
1,"As soon as the warranty period got over, laptop got defected .I complaind to hp care then it came to notice that amazone has not mentioned s.no in the bill for rectification of this error amazone took approx 18 days to correct the bill and for replacement of defective item Amazon is still making fool that your case is under escalation team and continuously giving new target date but not  giving resolution. I am totally feeling mentally harrashed"
2,"Claiming 4.2 GHz processor, but Delivered item with 2.4 GHz."
4,"I was searching for a laptop from Feb and bought this in Mar and am the first one to buy this from Amazon. The laptop has value for money, fast, long battery life etc. Sometimes it hangs for no reason. I believe it could be hardware issue and not related to Windows. When the laptop is kept on on a bed, the battery area heats up very quickly and hangs. There were no multiple drives. It would have been better if there were two drives ; one for OS and other for storing personal data.One interesting factor I observed with Amazon is the moment I bought on march1, there was one review appeared with all 5 star though I have not rated the product. Amazon is giving fake ratings to many products like this. Unless there is a photo of video of the product I would recommend the users not to believe the review.Pros:Fast bootupMore RAMSSDLong battery lifeFast fingerprint readingLight weightCons:Hangs sometimes for no reasonLess volumeKey board layout is not user friendlyNo RJ45Only one drive"
1,"The battery is gone in a month's time it was delivered on 5-Apr-201, hardware diagnosis says battery needs to be replaced. Have already faced issues where the keys just froze and had to contact support team."
5,"Awesome features in this laptopScreen is delight, back lit keyboard is awesome, finger print recognition is really good. I cannot imagine I could get all these features at this price. Super fast drive, free office what else you need.... 16 gb ramBeen using this for more than 2 weeks.. I am really really happy. On top of it awesome customer care service on what's app"
4,"I just see one month trial version of microsoft 365, it doesn't show me option to setup ms office. can some one help me on this?"
2,"If you are a College student or a professional who depends heavily on laptop for pretty much everyday then  this laptop is not for you. It hangs more often than it runs. Cannot install essential computer science software such as Eclipse or android studio because then this laptop just dies.I took this laptop thinking that it will have good performance based on its configuration.But if you are someone who wants to attend online classes or just browse, then you may go for this laptop."
4,Quality of the laptop seems to be more premium and the lightweight of the laptop fits to our hand. I am not a gamer for normal usage it seems best in class. HP had worked very well in this series with good quality speakers and keyboards are nice power. On and off in lightening speed with the ssd  but the only disadvantage is the internal webcam which makes me very disappointed . its just a hd camera. For this price range HP should work on the camera section. overall nice product.
4,"This laptop from HP has an excellent hardware configuration. A brand new laptop was delivered to me within 1 day of placing the order. The set-up was pretty fast. You can configure the Office 365 1-month trial version (comes with the laptop) or install your own MS-Office copy. Does not come with a carry-bag or any other accessory. Start-up is extremely smooth and fast with Windows Hello Fingerprint Scan and no problems encountered in the last more than 15 days of daily usage. The fingerprint scanner can however only be used for Windows Hello, it cannot be used for entering your password on websites using HP Security Manager App (as confirmed by HP Support Specialist). Other than this, no problems with the hardware configuration."
5,"This is an excellent product. Appearance looks great. Start and shutdown in a blink due to NVMe SSD. All the configurations including RAM, processor, ports are well tested and optimized. Very light waight and portable for frequent travellers."
5,"Like:Booting time is very less.Light weightSuper fastFinger touch unlock is super fastDislike:180 hinges are missingOpening lid is not designed properly, bit difficult to open the lid"
3,"Pros:It is light weight, good graphics and configuration.Cons:But not worth of the cost. The touch pad is pathetic and very unconfortable to use.Battery life ok not great. Camera quality not good.Over all this was my first HP buy!. Earlier I had Dell laptop and comparatuvely HP has very delicate and no fun Hardware. I regreting the deciaion to opt HP!!"
5,"An Amazing product from HP. Laptop was delivered today as promised by Amazon.A 16GB RAM, Intel i5-11th Gen processor, with 512 GB SSD with IRIS integrated graphics , FHD display, backlit keyboard...what else we need in a laptop which costs less than 65k cost?Looks premium.I searched all the ecommerce portals and even visited the stores, couldn't find a 16GB RAM laptop with in 65k budget.5stars for HP pavilion 14 laptop and 5 stars for Amazon :)"
4,This is my first laptop and i love it !... It turn on within in fraction of seconds..Pros :1) 16 gigs of RAM & i 5 11 gen processor gives the butter smooth experience.2) Excellent battery lifeCons:Touch pad should be more precise
4,"Very good laptop, very light weight so can easily care and operate with single hand.Battery life is okay as of now.Brightness is also okay not so bright.Sound disappointed as it’s not that great it’s hardly manageable at this price point.Overall good laptop.And yes, type-c port supports charging also so this is something cool 😊"
5,"So far, so good.Things that could've improved:Screen quality and brightnessCameraKeyboard tactile feedbackFingerprint reader"
4,Writing review after a week of using my beautiful slim light weight laptop.No need to describe much as I found no cons in this laptop functioning nice no issues till now price might be a bit high but overall I found very nice and handy laptop for all students and study purpose and using software applications running smooth.
4,"I am using it for two months, mainly for work from home and for browsing purpose.  I have viewed movies also. finger reader is very fast.  battery normal.  4-5 hours capacity. sound is loud though I prefer bluetooth speaker for watching movies on laptop.  Overall it fulfills my expectations."
5,"Before ordering the Laptop, I prayed to god to send me the perfect laptop without needing to contact the seller or the HP. and Yes, my prayed were answered. The Laptop works as expected - audio, camera, speed (as it has 16 GB RAM). Thanks HP and Amazon."
1,"First, Notebook is Over HeatingSecond,  Notebook is not openingI am fully unsatisfied"
5,"As of now, it's working fast and fingerprint scanner is also quick."
3,The system heats up a lot during normal usage or even when kept idle. Rest all seems ok as of now. Boots fast and good at multitask. Expected a privacy shutter for web cam at this price. Privacy concerned people pls buy one from amazon.
5,Very good product in this price range . Smooth and light weight. Easy to carry. If any one has the budget he should buy it .
5,"Amazing product, it's slim and build quality is also good!! Just has little heating issues usual than normalOverall loved itSound quality and heating is a draw back"
3,The only thing that i dont like is the heating it produces under the laptop and sometimes it gets heated from top as well i.e area around keyboard.Other then this i like this laptop. Battery life is around 4-5 hrs minimum  if you are continuously working. Design is lit. Its thin and looks cool!
5,"Product is real good in terms of processing speed. Also,  I would say it's light weight and sleek. Flawless fingerprint scanner."
4,Awesome laptop along with perfect configuration at this price. However due to its metallic build there might be chances of heating at the right side bottom part so better use laptop stand to stave off heating. Rest all good so go and grab if interested
5,"All good for the budget. The laptop built material is not that good. The upper body is shaking when you work in front cooler, of course not a major issue but shows the quality of material. Laptop is super fast but at times it hangs for a second, say one in 25 times. Absolute peach for students."
5,Performance is really fastBattery lasts 6 to 7 hoursDisplay quality excellentI just loved backlit keyboardLight weightPremium lookBlindly go for it
4,Perfect Pack.  Go for it.-Charging through type-c only when powered off.-currently B&O doesn't support headphone
5,Super awesome laptop....runs smoothly ...valorant runs on it like fluid...just amazing
4,"I'm using this for past 1 week without any issues. Overall product is good with smooth performance, good resolution, pre-installed MS products etc. Could have been better with backlit keyboard, finger sensor & camera cover option which is available in 15"" inch variant."
5,"Light weight,smooth to work , processing is better"
1,It says Full HD screen and they delivered with a HD Ready screen.My mistake is that I didn't search for the model no and check on hp website.
1,"Truly disappointed with HP . Its a corei5 11th gen laptop, which heats up like old amd laptops. I urge everyone not to go for this one. HP need to think and change this model. Thanks to Amazon for accepting the return"
1,Worst ever product i got it... They mentioned processer is 4.2GHz in specification and when it came it was 2.42GHz ....and when replaced that same product came with 4.2GHz.And now when i am calling to return it no one is receiving call..... Even with app also i am not able to place return order it says to contact us and which again does not get connected... Really frustrated with such service
4,Awesome laptopGood for engineering students.we bought it for my brother's 18th birthday. He is going to go into it so a really good hit. light weight. smooth like butter.*army refrence* go for it
5,"Very good product. After switching on it gets ready to use in less than 10 seconds and gets switch off in less than 5 seconds. Using multiple tabs at a time does not make anything slow. Heavy word, excel and PowerPoint usage is also smooth. Product is recent launch in 2021 and very useful in working from home or for online tasks. Best value for money. I exchanged by Dell laptop which was i3 and 4gb ram and was very slow. For any decent use the minimum requirement is i5 with 8gb ram and in this product the SSD, turbo boost and graphics card makes it much faster. Full HD resolution gives super picture quality."
3,"There has been an incorrect description of this product.  The display quality of the is really bad and strain to eyes, one can not use for a longer time.  Please be watchful before buying it.  We did not have the IPS version and opted for the Full HD version but it is nowhere near that.  If you are going to use a Laptop screen for primary display purposes, this laptop is not ideal.  The description should be fixed ASAP."
5,The product is truly awesome. One cons that i observed is during the video calls the laptop heats up higher than usual.
5,"First of all this is a very very good looking laptop. The size is absolutely perfect and the screen is amazing, not anti glare though. The processor does its job without any hiccups and battery gives back-up for 5-5.30 hours. SSD with NVMe interface is very fast and I did not experience any heating issue as such. It comes with MS Windows 10 Home and MS Office with lifetime validity. Overall this will be a good choice for anyone who is looking for a lightweight and compact laptop with amazing performance for work or study purpose."
4,"Bought this laptop for my kids to attend online classes. Fast booting in 10 secs and smooth operation. Compared other brand models in the same range, less features.  No fingerprint reader ord keyboard back-light. Sturdy look, Good display."
1,"Received this laptop on Friday, n on next day Saturday it didn't boot up, hard disk error. Had to call HP service center, now I'm waiting for the technician to come n seal the device n get some letter before I could approach Amazon for replacement.."
1,I am very disappointed with this laptop because. I got the replaced product. But it is very very worst product ever. Please don't buy this laptop. Heating Issues + charger Heating Issue + laptop hang issue. This laptop battery is working only upto 3 hrs. Worst class Laptop😡😡
1,I was already requested for return.1. Laptop is overwhelming issue.2. As mentioned in specification processor speed is not matching with delivered item.
1,Battery life extremely poor. Keys are depressed at left and right side. Heats up quickky. Have bought laptops from amazon before but this has been a bad experience.
5,It’s been 3days device is quite fast and it’s a great experience till now let’s see how it goes further.Recommended from my side if someone is confused don’t be go for it.👍🏻
5,Good quality lappy for students as well as for gamers. I5 processor brings in the speed which makes it a worth buy.
2,"Performance is good, lightweight and fast, but even if there is no program is running, it starts to overheat. Battery backup is very less (3-4 hours only) about half the time boasted on the website. I do not recommend this"
5,"Light weight, easy to carry, anti glare screen, and intel iris xe graphics, overall  very good product. Worth of money."
5,"HP laptops are always awesome, go for it without any hesitation. 👍👍"
2,Poor battery performance
4,"This is a very good laptop,it's light weight,doesn't hang in betwee like our older laptop,it's good for gaming and fortnite works just fine on it.I would highly recommend this laptop,and its value for money."
5,Products is awesome. All the things of this laptop is good. Nice battery backup around 7hrs.
4,Good product. Only drawback I learnt is it can't be extended for Warranty which is disappointing.Seller shud be more clear while selling. As customers we expect transparency.
3,Got the laptop with a  clearly visible dent on its bodyNot so satisfied with that
5,Good
1,"Laptop is not upto the mark as expected, heating problem and charging is getting over easily, camera is not good..don't buy."
1,"1st point don't by on exchange any product coz, while collecting they come up with new rule and 2nd don't buy HP laptop they service sucks"
5,Speed and processing is so fast . I bought what i need . Perfect product for office and home
5,"Amazing build, quality, sleek design, easy to use"
5,The best thing I observed in this laptop is its screen quality is the best and I really appreciate to HP
4,Nice laptop for personal use
5,"Very Light weight and performance and speed is good but ,experienced heat while using."
4,"very thine and light laptop,definitely guys you can go with HP this 14 series with i5 processor,"
5,Best and worth it
3,Screen is 14 inches
4,Good with light weight
4,Everything is fine..but camera quality is not good
5,Like
4,"Very slim ,light weight easily carry in traveling.Good battery time.....Min 5hrsFor office use best one."
5,"I bought this exchanging my Acer Aspire V5 intel i3 laptop since Pentium Gold processor is almost same, except for lesser L3 cache memory (3 MB to 2 MB).There is absolutely no heating or any other issues due to SSD. This fits my requirement of day to day browsing, reading, videos etc.  Very good laptop for this price.Good price for old laptop & card discount from ICICI due to Diwali sale."
5,"initial impression is excellent...light weight,thin,travel friendly.Super fast booting,due to ssd. hop this laptop last long.lets see what happen due to corse of time."
4,"I am a Computer Technician, and i have purchased and configured 5 of these. 2 were purchased from Amazon.Key Points.1) Initial Setup takes around 40 minutes but after that2) LAPTOP BOOTS IN LESS THAN 10 SECONDS (5 seconds frankly)Yes this laptop is Super FAST, because of its m.2 ssd.3) Clients with 3rd and 4th generation Core i5 laptops with 8 GB Rams couldnt spot the Difference in speeds. You are basically comparing a 45000rs - 65000rs year 2015 Laptops with a 2020, 30000rs. Which is just 2 core 2mb cache. Still is fast.. Thank you m.24) Recomended for people who want a Blazing fast laptop for Surfing, working on Excel, word.This laptop has1) License Lifetime Original Windows2) License for 1 year Microsoft Office student edition (word excel one note)3) has a 250 GB m.2 SSD Storage. (BLAZING FAST)4) Single Slot 4 GB Ram (If you want to upgrade to 16 GB.. its going to be a Difficult Turn)Word of Advice.1) IF you work simultaeously on Multiple Softwares. like 6 -  10 Excel sheets or heavy programmes like Adobe, then you may consider skipping this laptop as the RAM is just 4 gb2) Only Intel graphics but Old adobe and basic 3d softwares below 2018 works.Its a Value for Money. I am waiting for Competition like DELL and LENOVO to launch their varients so prices will drop. in 2 years."
1,"Worst service from Amazon and the seller. After buying this laptop I found that it's not suitable for running Android studio and I wanted to return it to get a higher configuration laptop but to my surprise I can't return it, the very next day. I was in the impression that we can return any item on Amazon but that was my biggest mistake and I lost 25k. This laptop is useless for me. Not happy at all."
5,"I am writing this review after using the laptop for one month.1) The MS office 2019 is original , just activate when you recieve it by login into your microsoft account. If you don't have a microsoft account create it.2) The laptop boots in just 3 to 4 second. It is very fast on SSD.3) The shutdown also takes just 3 second, thus you save your valuable time.4) The processing is also very reasonable and good at this price.5) It work for about 7 hour in one charge.6) Autocad 2017 is working fine on it.7) Overall the performance of the laptop is very good.One can buy it without any doubts."
5,"It's Amazing! I have never ever thought the SSD can be so fast that the Windows will boot In just 5 seconds!I Really Loved the HP Laptop with Windows 10 Home + Office 2019 Students already included lifetime.The only reason for choosing this Laptop over the One with Ryzen A9 APU available on other ecommerce site, & choosing the Pentium 4417U is that, it's faster than the Ryzen.I really love this lightweight laptop & it's compactness makes it worth.This laptop is really great if you want windows office and a powerful processor with SSD in this segment of upto ₹28,000 /-"
1,This is very bad product from Amazon there is no bill and window is local . it hangs full time I want a complete solution regarding this
1,Sound problem
5,"Purchased this laptop on 29th October 2019.Writing a review after almost 1 year of usage. To start with this laptop is very quick to start when powered on, hardly takes 5 seconds to start up.Great for those with basic requirements like daily surfing, Watching movies, MS office, Excel, Powerpoint and basic editing tasks. Due to SSD it works like charm.Pros- SSD makes it pretty fast with 5-7 seconds boot and start time. (I checked higher end models in shops but could not find one that starts as quickly this)- Light weight, this is pretty light and easy to carry, my earlier samsung laptop used to weigh almost 2 kgs and this slim trim piece comes as a delight to me in terms of weight.- Great battery life, haven't found any problems with battery life till now. It works 6-8 hours on a single charge easily. For me it is on almost for the entire day and it still works great.- Great volume, I am yet to see a laptop with so crystal clear sound. Most laptops have very low volume.- Got windows 10 and MS office students version license with it which is great add-on at this price point. (many higher priced laptops also don't provide this).Cons- Well almost none for me considering my requirements but you can find difficulties with viewing angles and screen resolution while watching movies, but I have no complains for it at this price point.ConclusionA great value for money laptop at this price point, After one year I can say that I am pretty happy with the purchase."
1,One of the worst company and laptop available on Amazon...laptop is not working after 6 month use..and worst part is hp customer support they will first waste ur 4-5 days by just doing similar troubleshooting then send some moron technician again this cycle will go on but the problem of laptop will never be resolved...so never buy this laptop
1,Microsoft not working properly. Is it a defective piece
5,Writing this review after 6 months use. Got it for my daughters online classes. No problem till now. Start and shut down in 2 sec.. pretty fast.Pls go for it if you want basic laptop for regular use and browsing.Preinstalled Microsoft Office is a plus.Only con is Camera is very bad but its ok for me coz i don't use it.
1,Price wise it is a good buy. Major drawback is outer body build quality as the body is not metallic and feels more like card board type. Also battery cannot be removed from outside. It is made in China.
5,Delivered one day earlier. Windows 10 and MS office Home & Student activated easily.USB ports are very tightly fitting. Speakers quality just good. Battery approx 5 hours.Reviewed after one day of use.
1,This is a very bad laptop. Do not take it. It hangs and stops running. I have been compelled on amazon many times but they have taken it so far
1,This  is very very low class product. not working perfectly. hanging in the middle of the programme.  customer care is not responding. i made big mistake for buying this product.
1,Don't buy this product.. Return policy is not available.
1,Its slow as hell and also only after using for 10 days the alphabet markings are rubbing off and disappearing from the keys on keyboard. A very sub standard product.
5,"The processor is so fast , it's really good for office work and watching movies go for it..."
1,"Cant believe it's a HP Laptop. I don't think people should consider buying Laptop from Amazon.Amazon team don't take any accountability post the Product is sold. They sell through Partners and possibly fake products. The HP laptop INR >25K didnot last even for 3 months.Few pointers,- The Laptop didnot have a Serial Number (there is NO sticker label pasted on the body of the Laptop).- Thereafter I called up Amazon and raised this issue ... at first they did not acknowledge the problem. Finally, they accepted. However, NO resolution was provided.- Performance of the Laptop - the less you talk about it , the better it's. Its pathetically slow and HDD has already crashed. In terms of Config, it's 4GB/1TB HDD however the performance is worse than my 4 early old Laptop.It was a terrible experience for me. People should reconsider before buying from Amazon."
5,"Its a good student laptop and you can go for it.Not for gaming or running too much of multi-tasking. Support mentions it can be upgraded to 8GB RAM , still need to check it out. RAM slot support mentions is 1 but shows 2 on the system properties.Overall a good laptop for this price and its light weight too."
5,"Excellent laptop. Beats macbook air in every department other than battery life, which is about 7 hours. Reviewed after six months usage"
3,"Really a good but not wonderful product, backup is great, charging very fast, windows 10 is licensed and free forever, MS Office is not free. It boots not very fast, we can attent phone calls, sms of phone, photos on phone very easily, need not go and take your phone to attend or make calls or sms. It is not for gaming or movies, though good enough for YouTube etc. Need patience to wait for opening apps like skype, trello, hunter, even note pad opens very slow."
5,Just few days but in love with the product ... its light and i like the large fonts on the keypad ... pre installed windows 10 and its easy to set up .. I m Loving IT ;)
2,"I bought this laptop 4 days ago and I found laptop is not worthy for use, even you can not  run properly word, excel  and othe file ,very very slow it will take time each and every single time, you can't play games, if you install game in laptop it will start hanging immediately unless you have to uninstall the game, you can not add extra ram because they don't have provided extra ram slot, even there is not extra slot to add SDD,  there is no fan in laptop for cooling and once you buy this laptop you can not refund your money only replacement with same piece even if you want to return and add extra money to but another you can't. Please I suggest if anybody is willing to buy this laptop plz don't buy you regret it 100% so please don't buy."
4,"If you are looking for a laptop for work from home or office use you should go for it without a second thought. Because of its great battery backup and speed due to SSD. Also it's lightweight and good looking too.But if you are looking for a laptop which should be both good for Work and Gaming you should consider buying another one, because of its low processor and graphics card. It's not good for gaming. You will get good average gaming laptops with more specifications under 40 - 50K if you are lucky."
1,"I don’t know where to start. I have never expected a laptop manufactured during the last decade to be this slow.Looking at the spec, I recommended this laptop to my friend as he just wanted a smooth functioning laptop for very basic usage. We got the delivery on time with a good packaging however the very first time we turned on the machine it took forever. I told him since it’s the first boot it might have taken time but updating the windows updates would fix it.It’s been more than a month now, no sign of any improvement. My 11 year old MacBook works like a charm in comparison with this Pathetic laptop.(I know this very absurd comparison)We already lost the return window and have no idea how to go about with it.The worse purchase I’ve ever made on Amazon.I urge people to go through reviews properly before making a decision which you’d regret."
1,Reveiw after 10 days :Worst Don't buy these kind of productsBattery life 1hrHanging for every 1 secBooting time 10 mntsHeating = You can cook anythingFinally Worst.. Worst... Worst...This reveiw is from IT employee (ME) in INFOSYS BPM LMT Banglore..If you still want to buy... Sure you can...
4,"Pros:-  It is really very light weight  Its very fast alsoIf you don't require much space go with this  it prodiess awesome speed ,Boot ups in 5 sec ,Cons:-  You have to  compromise with storageBut a external hard drive would work goodNo fingerprint of face id ,Lower processor, But overall value for money, and its quality is also good ,(Review after one day of usage)"
1,"Worse laptop ever ,sound n video quality is good for zoom class ,but the system always keeping on hanging jad to call sopport ,have no proper response as well ,not able to open 2 windows as it's always been gating hanged so frustrating this laptop is ,please go for dell I have brought a dell 5 years back still working amazingly, unfortunately I had left that at home brought this hp product to do my work .worse experience ever ."
5,"It is very fast and light weight laptop. I recommend this, because of value of money. It is really faster than i3 laptops. Good to go..."
1,This laptop has stopped working just after using it for two weeks. I do not know if this is a fake product.
1,"The product is slow like a turtle. Shame on the professor. Only good for browsing, that too takes long because of entered words to appear, or to open chrome🙆‍♂️ I can't believe I just lost 25K for this"
5,"The Laptop is quite light and very fast, especially when starting the OS. The only con is the storage space when compared to the traditional drives, which again is a part of the specification. Overall a good buy!"
4,Small product and on the laptop body there designing gripAnd it's SSD drive is awesome it takes max 3-4 second for startup and max 2 second for shutdownThis is happening coz of ssd drive I suggest u to if u have basic use then go for it
2,"Not saying it's completely waste, i trust hp for laptops from years, as i have 2 already at home. But particularly this model performance is below par considering the specifications, should've gone for Intel processor rather than amd. *lags too much, high end softwares like autocad, sketch, coral draw, photoshop isn't compatible or recommended for this variant, it sucks!*The only solution for lagging on this model is, you've to insert atleast 240GB SSD for smooth experience which cost around 3500/-"
1,Got this laptop yesterday and used for 1 day. Its total waste of money. Its cpu is so low such that even if you open a chrome its showing 100% usage. Bought it for my kids online class but google meet is hanging completely if you open video. You need to power off the laptop to get out of meeting.  Its too low only fit for MS word or note pad activity.I called every customer care to check whether its possible to upgrade but none helping.Total waste of money never buy it.
2,this product didnot work properly according to my desires
3,"Don't get carried away by price . Not suitable for graphic designers, anyone into photoshop of visual mediums through computer..graphics are terrible, colors are muddled and dark.I should have.done better research.What I do like about it is it's very light weight and airy !"
1,"इसे खरीदकर मैं खुद को ठगा सा महसूस कर रहा हूँ। 27500 रुपये का पूरा नुकसान हुआ। कंपनी ने हमें बेवकूफ बनाया। अगर सच कहूं तो कोई मुफ्त में भी दे तो भी ये लैपटॉप लेने लायक नहीं है। बिल्कुल बेकार प्रोडक्ट, ऐसी कोई समस्या नहीं जो इस लैपटॉप में नहीं है, इसे खरीदने से बेहतर है कि उस पैसे को कहीं दान कर दिया जाय।"
1,Don't buy these product as it is total cheap qualityWaste of money
5,Does not have a built in wireless router. Got fooled by their marketing pitch. Pathetic. Need to buy separately. Disappointed. They are selling laptops without router. Real desperate sellers indeed. Imagine selling a laptop without internet connectivity. Laptop is Intermet readybut no internet connectivity so actually no Internet what soever
1,I bought the laptop but its not charging by its charger at all..Brand new item having charger fault.And replacement by amazon not done in more than 10 days. Even  I am a prime user
1,"Totally wrost product. Don’t buy this product otherwise you’ll feel you have wasted your money on this product. I’m going to sell this product, if anyone interested contact me please."
1,Laptop 15 Intel pentium Gold 6405u has pathetic processor is very slow one's you upload the windows 95% space is captured and system is getting slow.Customer service of HP Laptop is not promisable. I have ruined my 3 consecutive days to had whatsapp conversations and calls they not provided any solution.My time and money completely wasteSuggest to not buy HP Laptops with such bad service.
3,"For whatever the price quoted it seems the performance seems to be ok. But, the display is not acceptable. Seems kind of cheap display and brightness controlling is very bad. It is too bright and it you try to adjust you can't see the content.Disappointed with screen."
2,"1) Though processor is not premium, I wasn't expecting it to be too slow. Slowness is one problem.2) Wifi issue, I am not sure what contributes to this problem but it is there. I was able to connect to wifi initially and later after restart it was not getting connected. Very annoying. All the other devices at home are connected to wifi bar this annoying  laptop.3) What can you do with laptop without internet??4) I tried to leave review earlier but then amazon has removed this product from list."
